"Disorder id","Disorder name","Human gene symbol","Mouse model description","PhenoDigm % score","Matching human phenotypes","Matching mouse phenotypes"
"OMIM:100300","Adams-Oliver Syndrome 1","ARHGAP31","Arhgap31<em1(IMPC)Bay> het embryo",12.24,"HP:0002084","MP:0001697"
"OMIM:100300","Adams-Oliver Syndrome 1","ARHGAP31","Arhgap31<em1(IMPC)Bay> hom embryo",21.085,"HP:0001650,HP:0002092,HP:0000822,HP:0001642","MP:0001914"
"OMIM:101400","Saethre-Chotzen Syndrome","TWIST1","Twist1<em1(IMPC)Rbrc> het early",41.255,"HP:0009951,HP:0001822,HP:0011323,HP:0009968,HP:0000294,HP:0010104,HP:0001159,HP:0004209,HP:0001770,HP:0002644,HP:0002974,HP:0000327,HP:0001156","MP:0000579,MP:0002110,MP:0000572,MP:0005270,MP:0004509"
"OMIM:102530","Spermatogenic Failure 6","SPATA16","Spata16<em1(IMPC)Marc> hom early",61.55,"HP:0012205,HP:0031136,HP:0003251","MP:0001925,MP:0001926"
"OMIM:103580","Pseudohypoparathyroidism, Type Ia","GNAS","Gnas<tm1Jop> hom early",16.035,"HP:0001513","MP:0003960"
"OMIM:103780","Alcohol Dependence","GABRA2","Gabra2<em1(IMPC)H> hom early",53.965,"HP:0030955","MP:0001399"
"OMIM:104200","Alport Syndrome 3, Autosomal Dominant","COL4A3","Col4a3<tm1b(EUCOMM)Wtsi> hom early",39.795,"HP:0002907,HP:0000093,HP:0000099,HP:0002148,HP:0000121,HP:0003774,HP:0000083,HP:0004722,HP:0001134,HP:0001142,HP:0030034,HP:0000100,HP:0000790,HP:0000123,HP:0002157","MP:0001319,MP:0008805,MP:0003917"
"OMIM:104300","Alzheimer Disease, Familial, 1","APP","App<tm1b(KOMP)Wtsi> het early",22.965,"HP:0410054","MP:0005565,MP:0000194"
"OMIM:104300","Alzheimer Disease, Familial, 1","PLAU","Plau<tm1b(EUCOMM)Wtsi> hom early",36.28,"HP:0000726","MP:0001417"
"OMIM:104300","Alzheimer Disease, Familial, 1","NOS3","Nos3<em1(IMPC)Mbp> hom early",19.16,"HP:0410054","MP:0005565,MP:0000198"
"OMIM:104530","Amelogenesis Imperfecta, Type Ia","LAMB3","Lamb3<tm1b(KOMP)Wtsi> hom early",70.095,"HP:0009722,HP:0000705,HP:0000679,HP:0006297,HP:0006311","MP:0002100"
